,Rank,name,rating,Format,Volume Count,Start Date,End Date,Member Count,Genre
359,360,Guimi Zhi Zhu,9.03,Novel,18 vols,May 2020,Aug 2023,7977,"['Action', 'Supernatural', 'School', 'Shounen']"
360,361,Grand Blue,9.03,Manga,unfinished,Apr 2014,unfinished,185660,"['Boys Love', 'Drama', 'School']"
361,362,Omniscient Reader's Viewpoint,9.02,Novel,20 vols,Jan 2022,Sep 2023,20661,"['Romance', 'Sports', 'School', 'Team Sports', 'Shounen']"
362,363,Kingdom,9.01,Manga,unfinished,Jan 2006,unfinished,183301,"['Comedy', 'Romance', 'School', 'Shounen']"
363,364,Oyasumi Punpun,8.99,Manga,13 vols,Mar 2007,Nov 2013,478622,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']"
364,365,Houseki no Kuni,8.97,Manga,13 vols,Oct 2012,Apr 2024,149302,"['Adventure', 'Fantasy', 'Mystery', 'Suspense', 'Isekai', 'Survival']"
365,366,Real,8.95,Manga,unfinished,Oct 1999,unfinished,97258,['Boys Love']
366,367,20th Century Boys,8.94,Manga,22 vols,Sep 1999,Apr 2006,283384,"['Award Winning', 'Comedy', 'Crossdressing', 'Visual Arts', 'Josei']"
367,368,Ashita no Joe,8.94,Manga,20 vols,Jan 1968,May 1973,57009,"['Award Winning', 'Drama', 'Seinen']"
368,369,Yotsuba to!,8.91,Manga,unfinished,Mar 2003,unfinished,164919,"['Action', 'Comedy', 'School', 'Shounen']"
369,370,Monogatari Series: First Season,8.91,Light Novel,6 vols,Nov 2006,Jul 2010,61482,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Video Game']"
