Unnamed: 0,Rank,name,rating,Format,Volume Count,Start Date,End Date,Member Count,Genre
107,108,Tobaku Datenroku Kaiji: One Poker-hen,8.58,Manga,16 vols,Jun 2013,Aug 2017,9786,"['Adventure', 'Drama', 'Fantasy']"
108,109,Kino no Tabi: The Beautiful World,8.58,Light Novel,unfinished,Mar 2000,unfinished,20258,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Suspense', 'Mecha', 'Psychological', 'Seinen', 'Shounen']"
109,110,Shinseiki Evangelion,8.57,Manga,14 vols,Dec 1994,Jun 2013,119124,"['Action', 'Supernatural', 'Shounen']"
110,111,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.57,Manga,18 vols,Apr 1992,Nov 1995,107666,"['Award Winning', 'Drama', 'Love Polygon', 'Strategy Game', 'Josei']"
111,112,Chihayafuru,8.57,Manga,50 vols,Dec 2007,Aug 2022,49627,"['Adventure', 'Fantasy', 'Mystery', 'Shounen']"
112,113,Pandora Hearts,8.56,Manga,24 vols,May 2006,Mar 2015,182327,"['Award Winning', 'Romance', 'Historical', 'Seinen']"
113,114,Otoyomegatari,8.56,Manga,unfinished,Oct 2008,unfinished,75811,"['Sports', 'School', 'Team Sports', 'Shounen']"
114,115,The Fable,8.56,Manga,22 vols,Nov 2014,Nov 2019,56517,"['Award Winning', 'Comedy', 'Suspense', 'Adult Cast', 'Organized Crime', 'Seinen']"
115,116,After School Lessons for Unripe Apples,8.56,Manhwa,unfinished,Dec 2020,unfinished,6933,"['Romance', 'School']"
116,117,Diamond no Ace Act II,8.56,Manga,34 vols,Aug 2015,Oct 2022,17905,"['Comedy', 'School']"
117,118,Jibaku Shounen Hanako-kun,8.55,Manga,unfinished,Dec 2014,unfinished,120852,"['Comedy', 'Drama', 'Romance', 'Love Polygon', 'Showbiz', 'Shoujo']"
118,119,Umineko no Naku Koro ni,8.55,Light Novel,8 vols,Jul 2009,Aug 2010,6951,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi', 'Supernatural', 'Historical', 'Psychological', 'Space', 'Shounen']"
119,120,Skip Beat!,8.55,Manga,unfinished,Feb 2002,unfinished,93586,"['Action', 'Fantasy', 'Mystery', 'Psychological', 'Urban Fantasy']"
120,121,Hi no Tori (1967),8.55,Manga,16 vols,Dec 1966,Feb 1988,23892,"['Drama', 'Mystery', 'Supernatural', 'Detective', 'Historical', 'Psychological', 'Seinen']"
121,122,Kara no Kyoukai: The Garden of Sinners,8.55,Light Novel,2 vols,Oct 1998,Aug 1999,17661,"['Action', 'Adventure', 'Fantasy', 'Martial Arts']"
122,123,Billy Bat,8.55,Manga,20 vols,Oct 2008,Aug 2016,75945,"['Action', 'Award Winning', 'Drama', 'Gore', 'Military', 'Survival', 'Shounen']"
123,124,Shingeki no Kyojin,8.55,Manga,34 vols,Sep 2009,Apr 2021,672776,"['Fantasy', 'Horror', 'Mystery', 'Supernatural', 'Suspense', 'Psychological']"
124,125,Nan Hao Shang Feng,8.55,Manhua,unfinished,Apr 2021,unfinished,18633,"['Supernatural', 'School', 'Shounen']"
125,126,The Legend of the Northern Blade,8.55,Manhwa,unfinished,Dec 2019,Nov 2024,42818,"['Comedy', 'Romance', 'Supernatural', 'Harem', 'School', 'Time Travel']"
126,127,Rurouni Kenshin: Meiji Kenkaku Romantan,8.54,Manga,28 vols,Apr 1994,Sep 1999,100969,"['Action', 'Drama', 'Historical', 'Samurai', 'Shounen']"
127,128,Kamisama Hajimemashita,8.54,Manga,25 vols,Feb 2008,May 2016,92477,"['Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Mythology', 'Shoujo']"
128,129,One Outs,8.54,Manga,20 vols,Nov 1998,Aug 2006,36345,"['Sports', 'Adult Cast', 'Psychological', 'Team Sports', 'Seinen']"
129,130,Webtoon Character Na Kang Lim,8.54,Manhwa,unfinished,May 2021,Jul 2024,8049,"['Award Winning', 'Drama', 'Romance', 'Supernatural', 'Love Polygon', 'School', 'Shoujo']"
130,131,Eleceed,8.53,Manhwa,unfinished,Oct 2018,unfinished,31623,[]
131,132,Mushoku Tensei: Dasoku-hen,8.53,Light Novel,unfinished,Jun 2023,unfinished,2487,"['Comedy', 'Drama', 'Sci-Fi', 'Supernatural', 'School']"
132,133,Hirayasumi,8.53,Manga,unfinished,Apr 2021,unfinished,17283,"['Drama', 'Sports', 'Seinen']"
133,134,Sasaki to Miyano,8.53,Manga,unfinished,Feb 2016,unfinished,38509,"['Action', 'Super Power']"
134,135,Monogatari Series: Monster Season,8.53,Light Novel,6 vols,Jul 2017,Aug 2021,8212,"['Fantasy', 'Slice of Life', 'Isekai', 'Reincarnation']"
135,136,Umineko no Naku Koro ni Chiru,8.53,Light Novel,7 vols,Jul 2012,Sep 2018,4088,"['Slice of Life', 'Seinen']"
136,137,Fruits Basket,8.53,Manga,23 vols,Jul 1998,Nov 2006,146696,"['Boys Love', 'Otaku Culture', 'School']"
137,138,Suzumiya Haruhi Series,8.53,Light Novel,unfinished,Jun 2003,unfinished,39159,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']"
138,139,Ping Pong,8.53,Manga,5 vols,1996,1997,23049,"['Fantasy', 'Horror', 'Mystery', 'Supernatural', 'Suspense', 'Psychological']"
139,140,Tokyo Ghoul,8.53,Manga,14 vols,Sep 2011,Sep 2014,529642,"['Action', 'Fantasy', 'Horror', 'Gore', 'Psychological', 'Urban Fantasy', 'Seinen']"
140,141,Steins;Gate,8.52,Light Novel,5 vols,Jun 2011,May 2012,14040,"['Sci-Fi', 'Suspense']"
141,142,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,8.52,Light Novel,5 vols,Nov 2014,Apr 2016,26775,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']"
142,143,Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,8.51,Manga,6 vols,Oct 2010,Nov 2012,16253,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Space', 'Shounen']"
143,144,Kidou Senshi Gundam: The Origin,8.51,Manga,24 vols,Jun 2001,Jun 2014,16830,"['Action', 'Fantasy', 'Mystery', 'Organized Crime']"
144,145,Baccano!,8.51,Light Novel,22 vols,Feb 2003,Aug 2016,20593,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Supernatural', 'Suspense', 'Psychological', 'Shounen']"
145,146,Ouran Koukou Host Club,8.50,Manga,18 vols,Jul 2002,Sep 2010,131639,"['Award Winning', 'Slice of Life', 'Memoir', 'Otaku Culture', 'Visual Arts', 'Josei']"
146,147,Fate/Zero,8.50,Light Novel,4 vols,Dec 2006,Dec 2007,28619,"['Boys Love', 'Drama', 'Music', 'School']"
147,148,Watashitachi no Shiawase na Jikan,8.50,Manga,1 vols,Mar 2008,Aug 2008,118705,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Reincarnation']"
148,149,Monogatari Series: Off Season,8.50,Light Novel,4 vols,Oct 2015,Jan 2017,7063,"['Comedy', 'Drama', 'Romance', 'Crossdressing', 'Reverse Harem', 'School', 'Shoujo']"
149,150,Kakukaku Shikajika,8.50,Manga,5 vols,Nov 2011,Jan 2015,28308,"['Action', 'Fantasy', 'Urban Fantasy']"
150,151,Given,8.50,Manga,9 vols,Apr 2013,Mar 2023,66255,"['Drama', 'Romance', 'Music', 'Psychological', 'Seinen']"
151,152,Bungou Stray Dogs,8.49,Manga,unfinished,Dec 2012,unfinished,96756,"['Comedy', 'Drama', 'Mystery', 'Supernatural', 'Vampire']"
152,153,Blue Giant,8.49,Manga,10 vols,May 2013,Aug 2016,24084,['Seinen']
153,154,The Boxer,8.49,Manhwa,unfinished,Dec 2019,May 2022,47164,"['Drama', 'Romance']"
154,155,Return of the Blossoming Blade,8.49,Manhwa,unfinished,Mar 2021,unfinished,27646,"['Action', 'Mystery', 'Supernatural', 'Detective', 'Seinen']"
155,156,Bakemonogatari,8.49,Manga,22 vols,Mar 2018,Mar 2023,40505,"['Award Winning', 'Music', 'Seinen']"
156,157,Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite,8.49,Light Novel,3 vols,Nov 2018,Mar 2020,7733,"['Action', 'Comedy', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Vampire', 'Shounen']"
157,158,Spy x Family,8.49,Manga,unfinished,Mar 2019,unfinished,317874,"['Drama', 'Girls Love', 'School']"
158,159,Yubisaki to Renren,8.49,Manga,unfinished,Jul 2019,unfinished,54862,"['Action', 'Comedy', 'Childcare', 'Shounen']"
159,160,Sakamichi no Apollon,8.49,Manga,9 vols,Sep 2007,Jan 2012,31699,"['Romance', 'Adult Cast', 'Shoujo']"
160,161,Berserk: Shinen no Kami 2,8.49,One-shot,unfinished,Jul 1996,Jul 1996,19213,"['Award Winning', 'Drama', 'Romance', 'Love Polygon', 'Music', 'School', 'Josei']"
161,162,Kimi no Suizou wo Tabetai,8.49,Manga,2 vols,Aug 2016,May 2017,46958,"['Drama', 'Sports', 'Combat Sports']"
162,163,Tensei shitara Slime Datta Ken,8.48,Light Novel,unfinished,May 2014,unfinished,41732,"['Drama', 'Horror', 'Mystery', 'Romance', 'Gore', 'Psychological']"
163,164,Spirit Circle,8.48,Manga,6 vols,May 2012,Mar 2016,47143,"['Award Winning', 'Sports', 'Team Sports', 'Shounen']"
164,165,Bastard,8.48,Manhwa,5 vols,Jul 2014,May 2016,143031,"['Fantasy', 'Isekai', 'Reincarnation']"
165,166,Blue Lock,8.48,Manga,unfinished,Aug 2018,unfinished,194775,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Supernatural', 'Reincarnation', 'Seinen']"
166,167,Shimeji Simulation,8.47,Manga,5 vols,Jan 2019,Nov 2023,22134,"['Action', 'Adventure', 'Award Winning', 'Mystery', 'Supernatural', 'Seinen']"
167,168,Here U Are,8.47,Manhua,unfinished,Nov 2017,Dec 2020,29943,"['Comedy', 'Drama', 'Romance', 'Slice of Life']"
168,169,Who Made Me a Princess,8.47,Manhwa,9 vols,Dec 2017,Apr 2022,57106,"['Slice of Life', 'School']"
169,170,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,8.47,Light Novel,unfinished,Jun 2019,unfinished,21591,"['Boys Love', 'Drama', 'Slice of Life', 'School']"
170,171,Vanitas no Karte,8.47,Manga,unfinished,Dec 2015,unfinished,69864,"['Drama', 'Fantasy', 'Reincarnation']"
171,172,Cross Game,8.47,Manga,17 vols,Sep 2005,Feb 2010,22421,"['Comedy', 'Romance']"
172,173,JoJo no Kimyou na Bouken Part 8: JoJolion,8.47,Manga,27 vols,May 2011,Aug 2021,160089,"['Fantasy', 'Historical', 'Urban Fantasy', 'Vampire', 'Shounen']"
173,174,Chikan Otoko,8.47,Manga,unfinished,2004,2004,48956,"['Romance', 'Supernatural', 'Shoujo']"
174,175,"Ohayou, Ibarahime",8.47,Manga,6 vols,Nov 2014,May 2017,38702,"['Award Winning', 'Comedy', 'Drama', 'Romance', 'Sports', 'School', 'Team Sports', 'Shounen']"
175,176,Shimanami Tasogare,8.46,Manga,4 vols,Mar 2015,May 2018,65123,"['Sports', 'Team Sports', 'Shounen']"
176,177,blanc,8.46,Manga,2 vols,Feb 2018,Sep 2020,8891,"['Comedy', 'Fantasy', 'Romance', 'Supernatural', 'Harem', 'Otaku Culture', 'School', 'Shounen']"
177,178,Dandadan,8.46,Manga,unfinished,Apr 2021,unfinished,180590,"['Boys Love', 'Drama', 'Slice of Life']"
178,179,Hinamatsuri,8.46,Manga,19 vols,Jun 2010,Jul 2020,56867,"['Action', 'Comedy', 'Supernatural', 'Shounen']"
179,180,Eyeshield 21,8.46,Manga,37 vols,Jul 2002,Jun 2009,79495,"['Comedy', 'Supernatural', 'Childcare', 'Organized Crime', 'Seinen']"
180,181,Kami nomi zo Shiru Sekai,8.46,Manga,26 vols,Apr 2008,Apr 2014,112116,"['Drama', 'Slice of Life', 'Psychological', 'Seinen']"
181,182,Ookami to Koushinryou,8.45,Manga,16 vols,Sep 2007,Dec 2017,43374,"['Mystery', 'Suspense', 'Adult Cast', 'Historical', 'Psychological', 'Shounen']"
182,183,Fullmetal Alchemist,8.45,Light Novel,6 vols,Feb 2003,Mar 2007,17697,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation']"
183,184,Rainbow: Nisha Rokubou no Shichinin,8.45,Manga,22 vols,Nov 2002,Jan 2010,38654,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Supernatural', 'Adult Cast', 'Historical', 'Seinen']"
