FilmID,Title,ReleaseDate,DirectorID,StudioID,CountryID,LanguageID,GenreID,RunTimeMinutes,CertificateID,BudgetDollars,BoxOfficeDollars,OscarNominations,OscarWins
1369,Charlie's Angels,03-11-2000,419,5,241,1,4,98,5,90000000,264100000,0,0
1370,Charlie's Angels: Full Throttle,27-06-2003,419,5,241,1,4,106,4,120000000,259100000,0,0
1371,Kingsman: The Secret Service,13-12-2014,427,48,240,1,4,129,5,94000000,414400000,0,0
1372,Kick-Ass,26-03-2010,427,234,240,1,4,117,5,30000000,96200000,0,0
1373,Stardust,10-08-2007,427,235,240,1,12,127,2,88500000,135600000,0,0
1374,Layer Cake,01-10-2004,427,235,240,1,14,105,5,6500000,11900000,0,0
1375,Underworld,19-09-2003,49,91,240,1,4,121,5,22000000,95700000,0,0
1376,Underworld: Evolution,20-01-2006,49,91,240,1,4,106,6,45000000,111300000,0,0
1377,For a Few Dollars More,18-11-1965,308,34,264,12,1,132,5,600000,15000000,0,0
1378,Once Upon a Time in the West,21-12-1968,308,2,264,12,1,165,5,5000000,5321500,0,0
1379,Once Upon a Time in America,23-05-1984,308,94,241,1,14,229,6,30000000,5300000,0,0
1380,Underworld: Rise of the Lycans,23-01-2009,428,91,241,1,4,92,6,35000000,91300000,0,0
1381,Underworld: Awakening,20-01-2012,429,91,241,1,4,89,6,70000000,160000000,0,0
1382,Underworld: Blood Wars,24-11-2016,430,91,241,1,4,91,5,,,0,0
1383,Stargate,28-10-1994,42,195,241,1,3,128,2,55000000,196600000,0,0
1384,Under Siege,09-10-1992,83,65,241,1,4,103,5,35000000,156600000,2,0
1385,Bridge of Spies,04-10-2015,4,8,241,1,9,141,4,40000000,165500000,6,1
1386,Duel,13-11-1971,4,1,241,1,9,89,2,450000,,0,0
1387,Empire of the Sun,11-12-1987,4,41,241,1,5,154,2,35000000,66700000,6,0
1388,Amistad,10-12-1997,4,8,241,1,13,154,5,36000000,44200000,4,0
1389,A.I. Artificial Intelligence,29-06-2001,4,41,241,1,3,146,3,100000000,235900000,2,0
1390,Catch Me If You Can,25-12-2002,4,41,241,1,19,141,4,52000000,352100000,2,0
1391,The Terminal,18-06-2004,4,41,241,1,7,128,4,60000000,219400000,0,0
1392,Lincoln,08-10-2012,4,41,241,1,19,150,4,65000000,275300000,12,2
1393,Abraham Lincoln: Vampire Hunter,18-06-2012,119,236,241,1,13,105,5,99500000,116400000,0,0
1394,The BFG,14-05-2016,4,3,241,1,26,117,2,140000000,178000000,0,0
1395,Day Watch,01-01-2006,119,109,258,9,12,131,5,4200000,38860000,0,0
